英文術語,英文全名 / 展開,中文名稱,中文簡義,英文意義,所屬領域,初級基礎,中級重點,考試提示
ROUGE,ROUGE,ROUGE 指標,ROUGE 指標：屬於「自然語言處理」的考試關鍵詞；詳細英文定義見英文意義欄。,Summarization overlap metric,自然語言處理,L12201,L21101,Higher better
CNN,Convolutional Neural Network,卷積神經網路,用卷積擷取局部影像特徵，是電腦視覺的基礎模型。,Image neural network using convolution filters,電腦視覺,L11302,L21102,Image feature extraction
Convolution,Convolution,卷積,卷積：屬於「電腦視覺」的考試關鍵詞；詳細英文定義見英文意義欄。,Local filter operation on image/features,電腦視覺,L11302,L21102,Local feature
Pooling,Pooling,池化,池化：屬於「電腦視覺」的考試關鍵詞；詳細英文定義見英文意義欄。,Downsampling operation,電腦視覺,L11302,L21102,Reduce size / invariance
ReLU,Rectified Linear Unit,ReLU 激活函數,ReLU 激活函數：屬於「電腦視覺」的考試關鍵詞；詳細英文定義見英文意義欄。,Nonlinear activation function,電腦視覺,L11302,L21102,Nonlinearity
Batch Normalization,Batch Normalization,批次正規化,批次正規化：屬於「電腦視覺」的考試關鍵詞；詳細英文定義見英文意義欄。,Stabilizes neural network training,電腦視覺,L11302,L21102,Training stability
Fully Connected Layer,Fully Connected Layer,全連接層,全連接層：屬於「電腦視覺」的考試關鍵詞；詳細英文定義見英文意義欄。,Dense layer often used for output,電腦視覺,L11302,L21102,Classification output
ResNet,ResNet,殘差網路,透過 skip connection 緩解深層網路退化問題，不是解決 overfitting。,CNN with skip connections,電腦視覺,L11302,L21102,Solves degradation
Skip Connection,Skip Connection,跳接連接,跳接連接：屬於「電腦視覺」的考試關鍵詞；詳細英文定義見英文意義欄。,Adds input to later layer output,電腦視覺,L11302,L21102,H(x)=F(x)+x
Image Classification,Image Classification,影像分類,影像分類：屬於「電腦視覺」的考試關鍵詞；詳細英文定義見英文意義欄。,Predict one or more image labels,電腦視覺,L11302,L21102,Class label only
Object Detection,Object Detection,物件偵測,物件偵測：屬於「電腦視覺」的考試關鍵詞；詳細英文定義見英文意義欄。,Find objects with boxes and classes,電腦視覺,L11302,L21102,Bounding box + class
Semantic Segmentation,Semantic Segmentation,語意分割,語意分割：屬於「電腦視覺」的考試關鍵詞；詳細英文定義見英文意義欄。,Pixel-level class labels,電腦視覺,L11302,L21102,Does not separate same-class instances
Instance Segmentation,Instance Segmentation,實例分割,實例分割：屬於「電腦視覺」的考試關鍵詞；詳細英文定義見英文意義欄。,Pixel-level labels plus instance IDs,電腦視覺,L11302,L21102,Separates individual objects
Panoptic Segmentation,Panoptic Segmentation,全景分割,全景分割：屬於「電腦視覺」的考試關鍵詞；詳細英文定義見英文意義欄。,Combines semantic stuff and instance things,電腦視覺,L11302,L21102,Stuff plus things
IoU,Intersection over Union,交併比,交併比：屬於「電腦視覺」的考試關鍵詞；詳細英文定義見英文意義欄。,Intersection over union,電腦視覺,L11302,L21102,Box/mask overlap
AP,Average Precision,平均精度,平均精度：屬於「電腦視覺」的考試關鍵詞；詳細英文定義見英文意義欄。,Area under precision-recall curve for one class,電腦視覺,L11302,L21102,Single class
mAP,mean Average Precision,平均 AP,平均 AP：屬於「電腦視覺」的考試關鍵詞；詳細英文定義見英文意義欄。,Mean AP across classes,電腦視覺,L11302,L21102,Detection metric
mIoU,mean Intersection over Union,平均交併比,平均交併比：屬於「電腦視覺」的考試關鍵詞；詳細英文定義見英文意義欄。,Mean pixel-level IoU,電腦視覺,L11302,L21102,Segmentation metric
YOLO,You Only Look Once,YOLO,YOLO：屬於「電腦視覺」的考試關鍵詞；詳細英文定義見英文意義欄。,Fast single-stage object detector,電腦視覺,L11302,L21102,Real-time detection
Faster R-CNN,Faster R-CNN,Faster R-CNN,Faster R-CNN：屬於「電腦視覺」的考試關鍵詞；詳細英文定義見英文意義欄。,Two-stage higher-accuracy detector,電腦視覺,L11302,L21102,High accuracy detection
CLIP,Contrastive Language-Image Pre-training,CLIP 文圖對齊模型,把文字與圖片對齊到同一向量空間，可做 zero-shot 與檢索，但不生成圖片。,Aligns text and image embeddings,多模態 AI,L12201,L21104,Does not generate images
Cross-Attention,Cross-Attention,跨注意力,跨注意力：屬於「多模態 AI」的考試關鍵詞；詳細英文定義見英文意義欄。,Q from one modality and K/V from another,多模態 AI,L11402,L21104,Connect modalities
Early Fusion,Early Fusion,早期融合,早期融合：屬於「多模態 AI」的考試關鍵詞；詳細英文定義見英文意義欄。,Combine modalities at input level,多模態 AI,L11402,L21104,Simple but feature mismatch risk
Late Fusion,Late Fusion,晚期融合,晚期融合：屬於「多模態 AI」的考試關鍵詞；詳細英文定義見英文意義欄。,Combine decisions from separate modality models,多模態 AI,L11402,L21104,Graceful degradation
Hybrid Fusion,Hybrid Fusion,混合融合,混合融合：屬於「多模態 AI」的考試關鍵詞；詳細英文定義見英文意義欄。,Combine modalities in intermediate layers,多模態 AI,L11402,L21104,Attention/gating
LLaVA,Large Language and Vision Assistant,LLaVA,LLaVA：屬於「多模態 AI」的考試關鍵詞；詳細英文定義見英文意義欄。,Vision-language model using projection to LLM,多模態 AI,L12201,L21104,MLP projection not cross-attention
Flamingo,Flamingo,Flamingo,Flamingo：屬於「多模態 AI」的考試關鍵詞；詳細英文定義見英文意義欄。,Vision-language model using gated cross-attention,多模態 AI,L12201,L21104,Gated cross-attention
Whisper,Whisper,Whisper,Whisper：屬於「多模態 AI」的考試關鍵詞；詳細英文定義見英文意義欄。,Speech recognition model,多模態 AI,L12201,L21104,ASR encoder-decoder
Foundation Model,Foundation Model,基礎模型,基礎模型：屬於「生成式 AI」的考試關鍵詞；詳細英文定義見英文意義欄。,Large pretrained model adaptable to many tasks,生成式 AI,L12201,L21103/L22403,Pretrained general model
Pretraining,Pretraining,預訓練,預訓練：屬於「生成式 AI」的考試關鍵詞；詳細英文定義見英文意義欄。,Train on massive corpus before task adaptation,生成式 AI,L11401,L21103/L22403,General knowledge/language
Pretraining Corpus,Pretraining Corpus,預訓練語料,預訓練語料：屬於「生成式 AI」的考試關鍵詞；詳細英文定義見英文意義欄。,Large text dataset for pretraining,生成式 AI,L12201,L22403,Common Crawl/C4/The Pile/ROOTS
Corpus Size,Corpus Size,語料規模,語料規模：屬於「生成式 AI」的考試關鍵詞；詳細英文定義見英文意義欄。,Total amount of training text/data,生成式 AI,L12201,L22403,TB/trillion tokens
Vocabulary Size,Vocabulary Size,詞彙表大小,詞彙表大小：屬於「生成式 AI」的考試關鍵詞；詳細英文定義見英文意義欄。,Number of tokens in tokenizer vocabulary,生成式 AI,L12201,L22403,Not corpus size
Quality Filtering,Quality Filtering,品質過濾,品質過濾：屬於「生成式 AI」的考試關鍵詞；詳細英文定義見英文意義欄。,Remove low-quality corpus content,生成式 AI,L12201,L22403,Ads/gibberish removal
Exact Deduplication,Exact Deduplication,完全重複去除,完全重複去除：屬於「生成式 AI」的考試關鍵詞；詳細英文定義見英文意義欄。,Remove identical duplicate documents,生成式 AI,L12201,L22403,Exact duplicate
Near Deduplication,Near Deduplication,近似重複去除,近似重複去除：屬於「生成式 AI」的考試關鍵詞；詳細英文定義見英文意義欄。,Remove highly similar documents,生成式 AI,L12201,L22403,MinHash/LSH
Perplexity Filtering,Perplexity Filtering,困惑度過濾,困惑度過濾：屬於「生成式 AI」的考試關鍵詞；詳細英文定義見英文意義欄。,Filter text by language-model naturalness,生成式 AI,L12201,L22403,Low naturalness text
SFT,Supervised Fine-Tuning,監督式微調,用指令與答案範例訓練模型，讓模型學會回答格式與任務行為。,Instruction-response fine-tuning,生成式 AI,L12202,L21103/L22403,Learn answer format
RLHF,Reinforcement Learning from Human Feedback,人類回饋強化學習,用人類偏好資料訓練 Reward Model，再透過 PPO 等方法對齊模型。,Preference alignment with reward model and PPO,生成式 AI,L12202,L21103/L22403,Reward model required
DPO,Direct Preference Optimization,直接偏好最佳化,直接用 chosen/rejected 偏好資料最佳化語言模型，不需要 Reward Model。,Preference optimization without reward model,生成式 AI,L12202,L21103/L22403,No reward model/PPO
RAG,Retrieval-Augmented Generation,檢索增強生成,不改模型權重，先檢索外部文件，再把資料補進 prompt 生成答案。,Retrieves external context before generating,生成式 AI,L12202,L21101/L21201/L22403,Knowledge updates/citations
LoRA,Low-Rank Adaptation,低秩適應,用低秩 adapter 微調少量參數，降低客製模型的算力成本。,Parameter-efficient fine-tuning with small adapters,生成式 AI,L12202,L21101/L22403,Low-resource customization
PEFT,Parameter-Efficient Fine-Tuning,參數高效微調,只調整少量參數的微調方法總稱，適合資源有限時客製模型。,Fine-tuning a small subset of parameters,生成式 AI,L12202,L21101/L22403,Efficient adaptation
GAN,Generative Adversarial Network,生成對抗網路,生成對抗網路：屬於「生成式 AI」的考試關鍵詞；詳細英文定義見英文意義欄。,Generator and discriminator compete,生成式 AI,L11401,L21103,Generator/discriminator
Generator,Generator,生成器,生成器：屬於「生成式 AI」的考試關鍵詞；詳細英文定義見英文意義欄。,GAN component that creates fake samples,生成式 AI,L11401,L21103,G(z)
Discriminator,Discriminator,鑑別器,鑑別器：屬於「生成式 AI」的考試關鍵詞；詳細英文定義見英文意義欄。,GAN component that judges real vs fake,生成式 AI,L11401,L21103,Real/fake probability
Mode Collapse,Mode Collapse,模式崩塌,模式崩塌：屬於「生成式 AI」的考試關鍵詞；詳細英文定義見英文意義欄。,GAN generates limited variety,生成式 AI,L11401,L21103,Not overfitting
Diffusion Model,Diffusion Model,擴散模型,擴散模型：屬於「生成式 AI」的考試關鍵詞；詳細英文定義見英文意義欄。,Generates by learning denoising process,生成式 AI,L11401,L21103,Noise and denoise
DDPM,Denoising Diffusion Probabilistic Model,去噪擴散機率模型,去噪擴散機率模型：屬於「生成式 AI」的考試關鍵詞；詳細英文定義見英文意義欄。,Diffusion model with learned reverse denoising,生成式 AI,L11401,L21103,MSE on noise
DDIM,Denoising Diffusion Implicit Model,去噪擴散隱式模型,去噪擴散隱式模型：屬於「生成式 AI」的考試關鍵詞；詳細英文定義見英文意義欄。,Faster diffusion sampling with fewer steps,生成式 AI,L11401,L21103,Fewer steps slight quality tradeoff
Stable Diffusion,Stable Diffusion,Stable Diffusion,Stable Diffusion：屬於「生成式 AI」的考試關鍵詞；詳細英文定義見英文意義欄。,Latent diffusion text-to-image model,生成式 AI,L12201,L21103,Latent diffusion + CLIP text encoder
FID,Fréchet Inception Distance,FID 指標,FID 指標：屬於「生成式 AI」的考試關鍵詞；詳細英文定義見英文意義欄。,Image generation quality metric comparing batches,生成式 AI,L12201,L21103,Lower better / batch comparison
CLIP Score,Contrastive Language-Image Pre-training,CLIP 分數,CLIP 分數：屬於「生成式 AI」的考試關鍵詞；詳細英文定義見英文意義欄。,Text-image alignment score,生成式 AI,L12201,L21103,Higher better
Perplexity,Perplexity,PPL 困惑度,PPL 困惑度：屬於「生成式 AI」的考試關鍵詞；詳細英文定義見英文意義欄。,Language model uncertainty metric,生成式 AI,L12201,L21103,Lower better
Temperature,Temperature,溫度參數,溫度參數：屬於「生成式 AI」的考試關鍵詞；詳細英文定義見英文意義欄。,Controls randomness in generation,生成式 AI,L12202,L22403,Inference parameter
max_new_tokens,max_new_tokens,最大新 token 數,最大新 token 數：屬於「生成式 AI」的考試關鍵詞；詳細英文定義見英文意義欄。,Limits generated token count,生成式 AI,L12202,L22403,Inference parameter
do_sample,do_sample,是否抽樣,是否抽樣：屬於「生成式 AI」的考試關鍵詞；詳細英文定義見英文意義欄。,Controls sampling during generation,生成式 AI,L12202,L22403,Inference parameter
Hallucination,Hallucination,幻覺,幻覺（Hallucination）：模型產生沒有根據或錯誤的內容；RAG 可降低但不能保證消除。,Unsupported or false model output,生成式 AI,L12202,L21101/L21201,RAG can reduce
Data Parallelism,Data Parallelism,資料平行,資料平行：屬於「分散式機器學習」的考試關鍵詞；詳細英文定義見英文意義欄。,Copies model and splits data across workers,分散式機器學習,L11301,L22401/L22403,Data too large
Model Parallelism,Model Parallelism,模型平行,模型平行：屬於「分散式機器學習」的考試關鍵詞；詳細英文定義見英文意義欄。,Splits model across devices,分散式機器學習,L11301,L22401/L22403,Model too large
Tensor Parallelism,Tensor Parallelism,張量平行,張量平行：屬於「分散式機器學習」的考試關鍵詞；詳細英文定義見英文意義欄。,Splits large tensors/layers across devices,分散式機器學習,L11301,L22403,Large layer
Pipeline Parallelism,Pipeline Parallelism,管線平行,管線平行：屬於「分散式機器學習」的考試關鍵詞；詳細英文定義見英文意義欄。,Splits model stages and passes micro-batches,分散式機器學習,L11301,L22403,Model stages
Parameter Server,Parameter Server,參數伺服器,參數伺服器：屬於「分散式機器學習」的考試關鍵詞；詳細英文定義見英文意義欄。,Central server aggregates gradients,分散式機器學習,L11301,L22401,Central aggregation
AllReduce,AllReduce,全歸約,全歸約：屬於「分散式機器學習」的考試關鍵詞；詳細英文定義見英文意義欄。,Workers aggregate gradients together,分散式機器學習,L11301,L22401,No central bottleneck
Online Learning,Online Learning,線上學習,線上學習：屬於「機器學習」的考試關鍵詞；詳細英文定義見英文意義欄。,Model updates as new data arrives,機器學習,L11301,L22401,Continuous model update
Online Serving,Online Serving,線上服務,線上服務：屬於「部署與 MLOps」的考試關鍵詞；詳細英文定義見英文意義欄。,Deployed model provides real-time predictions,部署與 MLOps,L12302,L22401,Serving not learning
Batch Inference,Batch Inference,批次推論,批次推論：屬於「部署與 MLOps」的考試關鍵詞；詳細英文定義見英文意義欄。,Scheduled large-volume prediction,部署與 MLOps,L12302,L21302,Not real time
Real-time Inference,Real-time Inference,即時推論,即時推論：屬於「部署與 MLOps」的考試關鍵詞；詳細英文定義見英文意義欄。,Low-latency online prediction,部署與 MLOps,L12302,L21302,Immediate response
MLOps,Machine Learning Operations,機器學習維運,把模型訓練、註冊、部署、監控、重新訓練流程系統化。,Operational pipeline for ML lifecycle,部署與 MLOps,L12302,L21302,Registry serving monitoring retraining
Model Registry,Model Registry,模型註冊庫,保存模型版本、metadata、指標與審批狀態；不存 active endpoint。,Stores model versions metadata metrics approvals,部署與 MLOps,L12302,L21302,Not active endpoint
Model Serving,Model Serving,模型服務,模型服務：屬於「部署與 MLOps」的考試關鍵詞；詳細英文定義見英文意義欄。,Running model for predictions,部署與 MLOps,L12302,L21302,Endpoint/inference
Monitoring,Monitoring,監控,監控：屬於「部署與 MLOps」的考試關鍵詞；詳細英文定義見英文意義欄。,Tracking system and model health,部署與 MLOps,L12302,L21302,Latency drift metrics
Retraining,Retraining,重新訓練,重新訓練：屬於「部署與 MLOps」的考試關鍵詞；詳細英文定義見英文意義欄。,Updating model after degradation or new data,部署與 MLOps,L12302,L21302,Drift response
Rollback,Rollback,回滾,回滾：屬於「部署與 MLOps」的考試關鍵詞；詳細英文定義見英文意義欄。,Return to stable previous version,部署與 MLOps,L12302,L21302,Emergency recovery
Data Drift,Data Drift,資料漂移,輸入資料分佈 P(X) 改變。,Input distribution P(X) changes,部署與 MLOps,L12302,L21302,P(X) change
Concept Drift,Concept Drift,概念漂移,輸入與輸出關係 P(Y|X) 改變。,Relationship P(Y|X) changes,部署與 MLOps,L12302,L21302,P(Y|X) change
SLI,Service Level Indicator,服務水準指標,服務水準指標：屬於「部署與 MLOps」的考試關鍵詞；詳細英文定義見英文意義欄。,Measured service indicator,部署與 MLOps,L12302,L21302,Actual measurement
SLO,Service Level Objective,服務水準目標,服務水準目標：屬於「部署與 MLOps」的考試關鍵詞；詳細英文定義見英文意義欄。,Internal reliability target,部署與 MLOps,L12302,L21302,Internal goal
SLA,Service Level Agreement,服務水準協議,服務水準協議：屬於「部署與 MLOps」的考試關鍵詞；詳細英文定義見英文意義欄。,External contract with penalties,部署與 MLOps,L12302,L21302,Contract
Shadow Test,Shadow Test,影子測試,新版模型在背景接真實流量，但使用者仍看到舊版輸出。,New model runs in background without user impact,部署與 MLOps,L12302,L21302,Users still see old output
Canary Deployment,Canary Deployment,金絲雀部署,讓小比例使用者真的收到新版，用低風險方式逐步放量。,Small percentage of users receive new version,部署與 MLOps,L12302,L21302,Small group real new output
Blue-Green Deployment,Blue-Green Deployment,藍綠部署,藍綠部署：屬於「部署與 MLOps」的考試關鍵詞；詳細英文定義見英文意義欄。,Two environments with instant switch,部署與 MLOps,L12302,L21302,Fast rollback
A/B Testing,A/B Testing,A/B 測試,A/B 測試：屬於「部署與 MLOps」的考試關鍵詞；詳細英文定義見英文意義欄。,Compare user/business outcomes between variants,部署與 MLOps,L12302,L21302,Conversion/commercial effect
AI Adoption,Artificial Intelligence,AI 導入,AI 導入：屬於「AI 導入與商業評估」的考試關鍵詞；詳細英文定義見英文意義欄。,Organizational use of AI to solve problems,AI 導入與商業評估,L12301,L21201/L21202,Evaluation/planning
Business Framing,Business Framing,業務問題定義,業務問題定義：屬於「AI 導入與商業評估」的考試關鍵詞；詳細英文定義見英文意義欄。,Define business problem and success criteria,AI 導入與商業評估,L12301,L21201,Start of evaluation
Solution Ladder,Solution Ladder,解決方案階梯,解決方案階梯（Solution Ladder）：Prompt -> RAG -> Fine-tuning -> From-scratch，原則是先試低成本低複雜度方案。,Prompt -> RAG -> fine-tuning -> from-scratch,AI 導入與商業評估,L12301,L21201,Start low complexity
Dual-Constraint,Dual-Constraint,雙重約束,雙重約束：屬於「AI 導入與商業評估」的考試關鍵詞；詳細英文定義見英文意義欄。,Two must-pass feasibility constraints,AI 導入與商業評估,L12301,L21201,Before weighted scoring
Weighted Scoring Matrix,Weighted Scoring Matrix,加權評分矩陣,加權評分矩陣：屬於「AI 導入與商業評估」的考試關鍵詞；詳細英文定義見英文意義欄。,Compare solutions by weighted criteria,AI 導入與商業評估,L12301,L21201,Weights before scores
TCO,Total Cost of Ownership,總擁有成本,總擁有成本，包含直接成本、間接成本與機會成本。,Direct indirect opportunity costs,AI 導入與商業評估,L12301,L21201,Not just API/server fee
ROI,Return on Investment,投資報酬率,投資報酬率，通常用淨效益除以投入成本。,Net benefit divided by investment,AI 導入與商業評估,L12301,L21201,(net benefit/investment)*100%
Payback Period,Payback Period,投資回收期,投資回收期：屬於「AI 導入與商業評估」的考試關鍵詞；詳細英文定義見英文意義欄。,Investment divided by annual net benefit,AI 導入與商業評估,L12301,L21201,Years to recover
Break-even,Break-even,損益兩平,損益兩平：屬於「AI 導入與商業評估」的考試關鍵詞；詳細英文定義見英文意義欄。,Volume where two options cost the same,AI 導入與商業評估,L12301,L21201,Fixed cost divided by unit cost difference
Vendor Lock-in,Vendor Lock-in,供應商鎖定,供應商鎖定：屬於「AI 導入與商業評估」的考試關鍵詞；詳細英文定義見英文意義欄。,Dependence on one vendor API pricing or version,AI 導入與商業評估,L12301,L21201,Migration risk
Data Residency,Data Residency,資料落地 / 資料主權,資料落地 / 資料主權：屬於「AI 導入與商業評估」的考試關鍵詞；詳細英文定義見英文意義欄。,Where data is stored and processed,AI 導入與商業評估,L12301,L21201,Jurisdiction requirement
Roadmap,Roadmap,導入路線圖,導入路線圖：屬於「AI 導入與商業評估」的考試關鍵詞；詳細英文定義見英文意義欄。,Phased plan from needs to rollout,AI 導入與商業評估,L12302,L21202,Need design resource pilot rollout
RACI,"Responsible, Accountable, Consulted, Informed",RACI 責任矩陣,責任分工矩陣；A 是 Accountable，每一列只能一人。,Responsible accountable consulted informed,AI 導入與商業評估,L12302,L21202,A exactly one
North Star Metric,North Star Metric,北極星指標,北極星指標：屬於「AI 導入與商業評估」的考試關鍵詞；詳細英文定義見英文意義欄。,One primary success metric,AI 導入與商業評估,L12302,L21202,Only one NSM
OKR,Objectives and Key Results,目標與關鍵結果,目標與關鍵結果：屬於「AI 導入與商業評估」的考試關鍵詞；詳細英文定義見英文意義欄。,Objective plus measurable key results,AI 導入與商業評估,L12302,L21202,Objective + 3-5 KRs
KPI,Key Performance Indicator,關鍵績效指標,關鍵績效指標：屬於「AI 導入與商業評估」的考試關鍵詞；詳細英文定義見英文意義欄。,Operational/business/risk metrics,AI 導入與商業評估,L12302,L21202,3+2+1 KPI
PoC,Proof of Concept,概念驗證,概念驗證，用小範圍確認技術可行性。,Small technical feasibility check,AI 導入與商業評估,L12302,L21202,Internal / feasibility
MVP,Minimum Viable Product,最小可行產品,最小可行產品，用最少功能驗證使用者與商業需求。,Minimum usable product for customer validation,AI 導入與商業評估,L12302,L21202,Early users
Pilot,Pilot,試行,試行，把方案放到有限真實場景或少量流量驗證。,Limited real-world rollout,AI 導入與商業評估,L12302,L21202,5-20% real traffic
Rollout,Rollout,擴展上線,擴展上線：屬於「AI 導入與商業評估」的考試關鍵詞；詳細英文定義見英文意義欄。,Scale deployment after pilot success,AI 導入與商業評估,L12302,L21202,After pilot conditions
CRISP-DM,Cross-Industry Standard Process for Data Mining,跨產業資料探勘標準流程,跨產業資料探勘標準流程：屬於「AI 導入與商業評估」的考試關鍵詞；詳細英文定義見英文意義欄。,Iterative data mining project lifecycle,AI 導入與商業評估,L12302,L21202,Not linear
No-Code,No-Code,無程式碼,無程式碼：屬於「AI 導入與商業評估」的考試關鍵詞；詳細英文定義見英文意義欄。,Visual development without coding,AI 導入與商業評估,L12101,L21201/L21202,Citizen development
Low-Code,Low-Code,低程式碼,低程式碼：屬於「AI 導入與商業評估」的考試關鍵詞；詳細英文定義見英文意義欄。,Visual development with some coding,AI 導入與商業評估,L12101,L21201/L21202,Faster app development
Citizen Developer,Citizen Developer,公民開發者,公民開發者：屬於「AI 導入與商業評估」的考試關鍵詞；詳細英文定義見英文意義欄。,Non-engineer building approved tools,AI 導入與商業評估,L12101,L21202,Nontechnical builder
Workflow Automation,Workflow Automation,流程自動化,流程自動化：屬於「AI 導入與商業評估」的考試關鍵詞；詳細英文定義見英文意義欄。,Automating repeated business steps,AI 導入與商業評估,L12102,L21202,Operational workflows
AI Governance,Artificial Intelligence,AI 治理,AI 治理：屬於「AI 治理與風險」的考試關鍵詞；詳細英文定義見英文意義欄。,Policies controls and accountability for AI,AI 治理與風險,L11102,L21203,Responsible AI
Risk Register,Risk Register,風險登錄表,風險登錄表：屬於「AI 治理與風險」的考試關鍵詞；詳細英文定義見英文意義欄。,Living list of risks owners controls residual risk,AI 治理與風險,L12303,L21203,Owner/control/residual risk
Inherent Risk,Inherent Risk,固有風險,固有風險：屬於「AI 治理與風險」的考試關鍵詞；詳細英文定義見英文意義欄。,Risk before controls,AI 治理與風險,L12303,L21203,Likelihood x impact
Residual Risk,Residual Risk,殘餘風險,殘餘風險：屬於「AI 治理與風險」的考試關鍵詞；詳細英文定義見英文意義欄。,Risk remaining after controls,AI 治理與風險,L12303,L21203,Compare to risk appetite
Risk Appetite,Risk Appetite,風險胃納,風險胃納：屬於「AI 治理與風險」的考試關鍵詞；詳細英文定義見英文意義欄。,Amount of risk leadership accepts,AI 治理與風險,L12303,L21203,Residual > appetite needs action
Mitigate,Mitigate,降低風險,降低風險：屬於「AI 治理與風險」的考試關鍵詞；詳細英文定義見英文意義欄。,Reduce likelihood or impact,AI 治理與風險,L12303,L21203,Risk treatment option
Transfer,Transfer,轉移風險,轉移風險：屬於「AI 治理與風險」的考試關鍵詞；詳細英文定義見英文意義欄。,Move risk via insurance/contract/vendor,AI 治理與風險,L12303,L21203,Risk treatment option
Accept,Accept,接受風險,接受風險：屬於「AI 治理與風險」的考試關鍵詞；詳細英文定義見英文意義欄。,Accept risk within appetite,AI 治理與風險,L12303,L21203,Risk treatment option
Avoid,Avoid,規避風險,規避風險：屬於「AI 治理與風險」的考試關鍵詞；詳細英文定義見英文意義欄。,Stop activity causing risk,AI 治理與風險,L12303,L21203,Risk treatment option
EU AI Act,EU AI Act,歐盟 AI 法案,歐盟以風險分級管理 AI 的法規框架。,Risk-based AI regulation framework,AI 治理與風險,L11102,L21203,Unacceptable/high/limited/minimal
Unacceptable Risk,Unacceptable Risk,不可接受風險,不可接受風險：屬於「AI 治理與風險」的考試關鍵詞；詳細英文定義見英文意義欄。,Prohibited AI use,AI 治理與風險,L11102,L21203,Art.5 prohibited
High Risk AI,High Risk AI,高風險 AI,高風險 AI：屬於「AI 治理與風險」的考試關鍵詞；詳細英文定義見英文意義欄。,Allowed AI requiring heavy compliance,AI 治理與風險,L11102,L21203,Annex III not banned
Limited Risk,Limited Risk,有限風險,有限風險：屬於「AI 治理與風險」的考試關鍵詞；詳細英文定義見英文意義欄。,AI requiring transparency/disclosure,AI 治理與風險,L11102,L21203,Chatbot/deepfake disclosure
Minimal Risk,Minimal Risk,微小風險,微小風險：屬於「AI 治理與風險」的考試關鍵詞；詳細英文定義見英文意義欄。,Low-risk AI with voluntary controls,AI 治理與風險,L11102,L21203,Spam filter/recommender examples
FRIA,Fundamental Rights Impact Assessment,基本權利影響評估,基本權利影響評估，範圍比 DPIA 更廣。,Broader fundamental rights impact assessment,AI 治理與風險,L11102,L21203,Broader than DPIA
DPIA,Data Protection Impact Assessment,資料保護影響評估,資料保護影響評估，重點在個資與隱私風險。,Data protection impact assessment,AI 治理與風險,L11203,L21203,Privacy/data focus
NIST AI RMF,National Institute of Standards and Technology AI Risk Management Framework,NIST AI 風險管理框架,美國 NIST 的 AI 風險管理框架：Govern、Map、Measure、Manage。,Govern Map Measure Manage framework,AI 治理與風險,L11102,L21203,治盤量管
ISO 42001,International Organization for Standardization,AI 管理系統標準,AI 管理系統標準：屬於「AI 治理與風險」的考試關鍵詞；詳細英文定義見英文意義欄。,Certifiable AI management system,AI 治理與風險,L11102,L21203,AI governance certification
ISO 23894,International Organization for Standardization,AI 風險管理指引,AI 風險管理指引：屬於「AI 治理與風險」的考試關鍵詞；詳細英文定義見英文意義欄。,AI risk management guidance,AI 治理與風險,L11102,L21203,Method not certification
ISO 27001,International Organization for Standardization,資訊安全管理系統,資訊安全管理系統：屬於「AI 治理與風險」的考試關鍵詞；詳細英文定義見英文意義欄。,Information security management standard,AI 治理與風險,L11203,L21203,CIA security not full AI governance
Human-in-the-loop,Human-in-the-loop,人在迴圈中,人在迴圈中：屬於「AI 治理與風險」的考試關鍵詞；詳細英文定義見英文意義欄。,Human review or intervention in AI workflow,AI 治理與風險,L11102,L21203,High impact oversight
PII,Personally Identifiable Information,個人可識別資訊,個人可識別資訊：屬於「隱私保護」的考試關鍵詞；詳細英文定義見英文意義欄。,Information that can identify a person,隱私保護,L11203,L22201/L22404,Personal data protection
Masking,Masking,遮罩,遮罩：屬於「隱私保護」的考試關鍵詞；詳細英文定義見英文意義欄。,Makes sensitive data unreadable in display,隱私保護,L11203,L22201,Hide values
Redaction,Redaction,遮蔽 / 移除,遮蔽 / 移除：屬於「隱私保護」的考試關鍵詞；詳細英文定義見英文意義欄。,Removes sensitive content,隱私保護,L11203,L22201,Irreversible removal
Pseudonymization,Pseudonymization,假名化,用可還原的代號取代識別資料，仍可能算個資。,Reversible replacement using mapping,隱私保護,L11203,L22201/L22404,Still personal data in GDPR framing
Anonymization,Anonymization,匿名化,不可逆地移除可識別性，真正匿名後才不再是個資。,Irreversible de-identification,隱私保護,L11203,L22201/L22404,No longer identifiable if truly irreversible
k-anonymity,k-anonymity,k-匿名性,k-匿名性：屬於「隱私保護」的考試關鍵詞；詳細英文定義見英文意義欄。,Each equivalence class has at least k records,隱私保護,L11203,L22404,Prevent identity disclosure
l-diversity,l-diversity,l-多樣性,l-多樣性：屬於「隱私保護」的考試關鍵詞；詳細英文定義見英文意義欄。,Sensitive values inside group are diverse,隱私保護,L11203,L22404,Prevent attribute disclosure
t-closeness,t-closeness,t-相近性,t-相近性：屬於「隱私保護」的考試關鍵詞；詳細英文定義見英文意義欄。,Group sensitive distribution close to overall distribution,隱私保護,L11203,L22404,Prevent distribution skew attack
Generalization,Generalization,泛化,泛化：屬於「隱私保護」的考試關鍵詞；詳細英文定義見英文意義欄。,Replace exact values with broader ranges,隱私保護,L11203,L22404,Age to age range
